block_height,block_timestamp,tx_hash,sender,recipient,quantums,USDC
12992065,2024-04-11 09:26:57.474000 UTC,448BB9F2BEB6CB7CFB6AB0ED091BDB402E4928FE7619F2B8282BC32E04609E04,dydx1zqmju7kurvhf867w20krzq4m6tkkqh3w6f8sc2,dydx1w7cetdnrdfhh5jysze79z05h0y00zsqwzf4ymn,1.747E+11,174700
8907729,2024-02-19 09:59:20.929000 UTC,4C8C1D7E817FFB2D3CE563FE9A7189357F6E825D423DB7318131996ED1ECC39D,dydx1xdh5kpwg54dpzq7x8tdpg682j2z7vtm6ysd62c,dydx1deu56ek82hgzusxj82m59k004xnzcq8xlhh0vt,1.68154E+11,168154.1121
3693933,2023-12-18 14:34:00.345000 UTC,2739421529303B9F995BB530931ED778E59DE8069E4B3A763434876CC8B528EF,dydx1lsdz5740wewekf4fwgghwsmp7a8kjt2d3sn68y,dydx1a0ch8wv59g56evspx4kxxzmr20wgatf0qfx2el,1.60942E+11,160941.9775
21888040,2024-08-03 07:31:15.178000 UTC,853DC70A6D958685FB1269C09DC3222FDFE23160CD0823C80DFB6453F517C09F,dydx15x2qgtmrtmf6jedhuy2dqnn8uq8emjwdz7324q,dydx1lqdu7mvs4fqdm8vfdgnuf7yhxwdxx3yywnn9wl,1.6E+11,160000
12449063,2024-04-04 02:35:06.930000 UTC,0A8F8AFD8A2778A32635658CFA83ED88334463806D05D0B62E8656ECD7053028,dydx1yqhquvydehx9x40kfs4307wwxdj3fmhdqe9y0l,dydx1wnhv3tz48u66pwuwqekflll5vxl0p2mkvaldev,1.54375E+11,154375.1804
11137412,2024-03-18 20:19:20.564000 UTC,4DF7E81E1BC5EEC5079209D96DD4D1F825CF670CED8CC3A180B3F08FE5643970,dydx1ntv4qwhj7eqr92d2gl7crpa5re6cl2d7ae3xst,dydx12u2xq9vgy087zngm60luvs7kkl9cquldt6u2n0,1.5399E+11,153989.8879
21890258,2024-08-03 08:08:21.885000 UTC,59D6C313F499B70E692A1155C191AD18609F4284363CFDC4A70AEE79156253D6,dydx15x2qgtmrtmf6jedhuy2dqnn8uq8emjwdz7324q,dydx127fl4ffpyfp7qw0sfqv46w9rg2c9qpvx8w5m8j,1.5E+11,150000
9449733,2024-02-26 05:01:03.663000 UTC,34762D6C08C0BD753E1515AAC99D1C8D9691A10087EC8BFF32A542D58BE9F269,dydx1t73v4zyqqqynrlrz9wqhr2q3j2fuznwjl9q4gd,dydx16xte0rprul55ndk3vnkm32vsn3peaaxngvphns,1.5E+11,150000
5425195,2024-01-08 17:18:04.376000 UTC,485911558E3C0E79F872E5571E58ABAF18F19C4C625B1702881B5217E9B0C86D,dydx1wz7a2ehjq0n6q7fpqkakp9928kjjhh6wzskhhe,dydx189wlhjskzqee3944ykd75t7gvjea0k72ptvcux,1.5E+11,150000
15755018,2024-05-16 19:11:27.369000 UTC,C3B1AC4B068C6AEA5C7EAB6CE55815DA23E84FBB8C8FCD030207E7C4C544A0FD,dydx1vtjzaf8nuj3j6gukcx3pwtw0nc0d0m93u5xqq3,dydx1qkn2rqdk0aqxdfxxppt3aas38jxum40ev0vzql,1.4E+11,140000
18821109,2024-06-24 05:29:10.416000 UTC,678991E55F1AB21B9168E2847E59A1FAD82C087CCD1C409D45D7AD3CFE97CFF8,dydx1rzt43jlmrgz68jp5vls5nrfcx9lk4upxdn369r,dydx1w5e505mccjwy275syd6ze37pena97c26nkq8kg,1.38666E+11,138666.1087
14374901,2024-04-29 04:17:35.263000 UTC,02B114B9E506E245AED09212F0723999A4657B7F2C563F86FA88AC6D755B7A6F,dydx1tvmqadnlhge6t0xejdczp5lxmtyqv7yp3560fc,dydx1jga5thpkvkrlxnzj927ej6tq3utr7jzd9n8yrg,1.3827E+11,138269.8326
20016196,2024-07-09 16:28:13.550000 UTC,2A655095684DC78FB12091F0FBE4AFC44D84024831A372F322E6C0D0944684F7,dydx1h7uvmw70hc032ly0mrazyst4syeg3fs7k4lacr,dydx1rw6jxt329j24qqsnjln4pvdmukw8sh46dmzmgq,1.34398E+11,134397.9213
9636094,2024-02-28 14:42:25.676000 UTC,8B9BC9925830F6EFC4AFB18D51F9AF61E6CE835D68AF57E5A47675F0C7654414,dydx1atdw6e89zhjkzwqh8ze5m2pu5phr5cpa44vhc0,dydx16xte0rprul55ndk3vnkm32vsn3peaaxngvphns,1.2489E+11,124890.2392
12797694,2024-04-08 18:55:40.013000 UTC,2E50073E46C6DAA56D53FCB0EF3B46BC2F9B2877CDA7694BB1404FB17B58D84E,dydx14kqk3lqx3tf2tpy2p7s6fs47n6e2fh0jcu5mqt,dydx1j2flfw924xrls97ah9hdhdjjnyyh7g2trzqx4y,1.2298E+11,122980
10346703,2024-03-08 20:07:56.759000 UTC,2F97F858FB9330884967598A9F607DC16D6AFB61A878061267CCCE1CEF4DEDD9,dydx1q8pg5tldgfv6kfzdcp8g5y3c6vvr7n7yauq8zk,dydx1dpvrps9u80djse2xe5c3nledxwjf32zwcdm5rr,1.2E+11,120000
14438404,2024-04-30 00:02:15.410000 UTC,95348DE6325A54088CBDBB4FCBF1A4FC3489A0395505A858483A723AA2DEF873,dydx1pgw3z285yzug0yyyx330mh98awtrxy8rf2m3uf,dydx1hgs286f4kfwsdk5kvg2cvfnz09qgesujgad8ya,1.17614E+11,117614.3052
9635295,2024-02-28 14:26:40.579000 UTC,FD72E0AB515C6B699AB0D16E32DE29EC6B19D4288514A1ACF7C6D8CC4CD523F1,dydx15nl034zlgwpqu2yse7j6hcmckjcgt4ajd8v6um,dydx16xte0rprul55ndk3vnkm32vsn3peaaxngvphns,1.15446E+11,115446.2138
23668391,2024-08-25 16:56:48.051000 UTC,00A9EC6917A5AD6FD6D04B221134B38729F314BF614D0797CA6FB841C2DC4F42,dydx1p86wsqjzmu23sm46efs4kytvkhku9ch7vzjj0u,dydx143kfdldwa5xssjwxc3yls07qz509mdglwetzmh,1.12E+11,112000
